filename,number_ipv6_packets,number_flow_packets,number_ipv6_conversations,hop_by_hop_header,routing_header,fragment_header,destination_header,authentication_header,encapsulation_header,average_packet_length_per_traffic,min_packet_length_per_traffic,max_packet_length_per_traffic,average_packet_length_per_flow,min_packet_length_per_flow,max_packet_length_per_flow,average_number_packets_per_flow,min_number_packets_per_flow,max_number_packets_per_flow,average_ipg_per_traffic,packets_per_second,Sum A ← B,Min A ← B,Max A← B,Average Packets A ← B,Sum A → B,Min A → B,Max A → B,Average A → B,Min Length/Conversation (Bytes),Max Length/Conversation (Bytes),Average Length/Conversation (Bytes),Min Number Packets/Conversation,Max Number Packets/Conversation,Average Number Packets/Conversation,Min Duration/Conversation,Max Duration/Conversation,Average Duration/Conversation
equinix-nyc.dirA.20181115-140100.UTC.anon.ipv6.pcap,83716,20922,6521,0,0,125,0,0,0,278.27,56,1504,685.51 ,60,1504,3.79,1,3597,0.000124930,8004.551300132,75863,0,20119,11.6336,7728,0,603,1.1850,0,5292979,3554.84,1,20119,12.81,0,10.4582,1.4297
equinix-nyc.dirB.20181115-125910.UTC.anon.ipv6.pcap,3862649,2073741,107257,0,0,82,0,0,0,480.90,52,1504,535.75 ,52,1504,4.13,1,25231,0.000012824,77979.815826956,916983,0,66096,8.5494,2945584,0,82086,27.4628,0,78379347,17299.24,1,82086,36.01,0,49.5336,13.4276
equinix-nyc.dirB.20181115-130000.UTC.anon.ipv6.pcap,4721452,2569279,119769,0,0,95,0,0,0,482.94,52,1504,539.14 ,52,1504,4.07,1,20761,0.000012708,78690.883716358,1113114,0,80730,9.2938,3608243,0,103723,30.1266,0,95823275,19017.56,1,103723,39.42,0,59.9995,16.6164
equinix-nyc.dirB.20181115-130100.UTC.anon.ipv6.pcap,4570339,2540096,121817,0,0,84,0,0,0,469.77,52,1504,528.98 ,52,1504,4.11,1,25468,0.000013128,76172.358561463,1106470,0,79623,9.0830,3463785,0,101163,28.4343,0,94461318,17605.88,1,101163,37.51,0,59.9997,16.2530
equinix-nyc.dirB.20181115-130200.UTC.anon.ipv6.pcap,4930175,2589845,126245,0,0,94,0,0,0,465.91,52,1504,543.57 ,52,1504,4.17,1,39275,0.000012170,82169.647699557,1190000,0,80868,9.4261,3740081,0,168788,29.6255,0,95985120,18176.91,1,168788,39.05,0,59.9998,15.9153
equinix-nyc.dirB.20181115-130300.UTC.anon.ipv6.pcap,4799655,2519733,125421,0,0,63,0,0,0,472.94,52,1504,560.77 ,52,1504,4.10,1,20722,0.000012501,79994.272665043,1168218,0,79759,9.3143,3631374,0,105731,28.9534,0,94605738,18079.52,1,105731,38.26,0,59.9991,15.7222
equinix-nyc.dirB.20181115-130400.UTC.anon.ipv6.pcap,4691994,2454613,122410,0,0,91,0,0,0,471.68,52,1504,569.40 ,52,1504,4.03,1,18040,0.000012788,78199.939099969,1159998,0,79530,9.4763,3531905,0,132174,28.8530,0,94336540,18059.43,1,132174,38.32,0,59.9998,15.9217
equinix-nyc.dirB.20181115-130500.UTC.anon.ipv6.pcap,4678685,2496857,119422,0,0,134,0,0,0,474.61,52,1504,558.70 ,52,1504,4.03,1,32212,0.000012824,77978.121022758,1121258,0,80574,9.3890,3557293,0,101833,29.7875,0,95571162,18573.43,1,101833,39.17,0,59.9991,16.5730
equinix-nyc.dirB.20181115-130600.UTC.anon.ipv6.pcap,4681453,2549918,116300,0,0,125,0,0,13,468.27,52,1504,548.74 ,52,1504,4.10,1,27472,0.000012817,78024.228370300,1108002,0,80587,9.5271,3573326,0,102262,30.7250,0,95586638,18829.13,1,102262,40.25,0,59.9993,16.9728
equinix-nyc.dirB.20181115-130700.UTC.anon.ipv6.pcap,4785267,2610904,117661,0,0,75,0,0,3,463.63,52,1504,543.93 ,52,1504,4.16,1,49574,0.000012538,79754.476584825,1090782,0,80094,9.2705,3694410,0,102045,31.3987,0,94954986,18836.53,1,102045,40.66,0,59.9997,16.6554
